No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
180,18.9750,29.0000, , ,1.0000, ,4.67322
181,19.0250,28.0000, , ,1.0000, ,4.66106
182,19.0750,26.0000, , ,1.0000, ,4.64895
183,19.1250,34.0000, , ,1.0000, ,4.63691
184,19.1750,22.0000, , ,1.0000, ,4.62493
185,19.2250,25.0000, , ,1.0000, ,4.61301
186,19.2750,26.0000, , ,1.0000, ,4.60116
187,19.3250,20.0000, , ,1.0000, ,4.58937
188,19.3750,19.0000, , ,1.0000, ,4.57764
189,19.4250,24.0000, , ,1.0000, ,4.56597
190,19.4750,25.0000, , ,1.0000, ,4.55436
191,19.5250,28.0000, , ,1.0000, ,4.54281
192,19.5750,30.0000, , ,1.0000, ,4.53132
193,19.6250,25.0000, , ,1.0000, ,4.51988
194,19.6750,29.0000, , ,1.0000, ,4.50851
195,19.7250,27.0000, , ,1.0000, ,4.49720
196,19.7750,26.0000, , ,1.0000, ,4.48594
197,19.8250,35.0000, , ,1.0000, ,4.47474
198,19.8750,20.0000, , ,1.0000, ,4.46359
199,19.9250,27.0000, , ,1.0000, ,4.45250
200,19.9750,26.0000, , ,1.0000, ,4.44147
201,20.0250,26.0000, , ,1.0000, ,4.43049
202,20.0750,29.0000, , ,1.0000, ,4.41957
203,20.1250,19.0000, , ,1.0000, ,4.40870
204,20.1750,21.0000, , ,1.0000, ,4.39789
205,20.2250,14.0000, , ,1.0000, ,4.38713
206,20.2750,18.0000, , ,1.0000, ,4.37642
207,20.3250,21.0000, , ,1.0000, ,4.36577
208,20.3750,25.0000, , ,1.0000, ,4.35517
209,20.4250,22.0000, , ,1.0000, ,4.34462
210,20.4750,14.0000, , ,1.0000, ,4.33412
211,20.5250,37.0000, , ,1.0000, ,4.32368
212,20.5750,26.0000, , ,1.0000, ,4.31328
213,20.6250,19.0000, , ,1.0000, ,4.30294
214,20.6750,18.0000, , ,1.0000, ,4.29265
215,20.7250,27.0000, , ,1.0000, ,4.28240
216,20.7750,20.0000, , ,1.0000, ,4.27221
217,20.8250,27.0000, , ,1.0000, ,4.26207
218,20.8750,21.0000, , ,1.0000, ,4.25197
219,20.9250,23.0000, , ,1.0000, ,4.24192
220,20.9750,25.0000, , ,1.0000, ,4.23192
221,21.0250,15.0000, , ,1.0000, ,4.22197
222,21.0750,20.0000, , ,1.0000, ,4.21207
223,21.1250,10.0000, , ,1.0000, ,4.20221
224,21.1750,22.0000, , ,1.0000, ,4.19240
225,21.2250,26.0000, , ,1.0000, ,4.18264
226,21.2750,28.0000, , ,1.0000, ,4.17292
227,21.3250,15.0000, , ,1.0000, ,4.16325
228,21.3750,9.0000, , ,1.0000, ,4.15362
229,21.4250,22.0000, , ,1.0000, ,4.14404
230,21.4750,19.0000, , ,1.0000, ,4.13451
231,21.5250,22.0000, , ,1.0000, ,4.12502
232,21.5750,19.0000, , ,1.0000, ,4.11557
233,21.6250,27.0000, , ,1.0000, ,4.10617
234,21.6750,19.0000, , ,1.0000, ,4.09681
235,21.7250,24.0000, , ,1.0000, ,4.08749
236,21.7750,19.0000, , ,1.0000, ,4.07822
237,21.8250,23.0000, , ,1.0000, ,4.06899
238,21.8750,14.0000, , ,1.0000, ,4.05980
239,21.9250,16.0000, , ,1.0000, ,4.05066
240,21.9750,15.0000, , ,1.0000, ,4.04155
241,22.0250,23.0000, , ,1.0000, ,4.03249
242,22.0750,18.0000, , ,1.0000, ,4.02347
243,22.1250,17.0000, , ,1.0000, ,4.01449
244,22.1750,19.0000, , ,1.0000, ,4.00555
245,22.2250,20.0000, , ,1.0000, ,3.99665
246,22.2750,13.0000, , ,1.0000, ,3.98779
247,22.3250,14.0000, , ,1.0000, ,3.97898
248,22.3750,22.0000, , ,1.0000, ,3.97020
249,22.4250,22.0000, , ,1.0000, ,3.96146
250,22.4750,18.0000, , ,1.0000, ,3.95276
251,22.5250,18.0000, , ,1.0000, ,3.94410
252,22.5750,16.0000, , ,1.0000, ,3.93547
253,22.6250,19.0000, , ,1.0000, ,3.92689
254,22.6750,12.0000, , ,1.0000, ,3.91834
255,22.7250,22.0000, , ,1.0000, ,3.90984
256,22.7750,23.0000, , ,1.0000, ,3.90136
257,22.8250,16.0000, , ,1.0000, ,3.89293
258,22.8750,20.0000, , ,1.0000, ,3.88454
259,22.9250,28.0000, , ,1.0000, ,3.87618
260,22.9750,18.0000, , ,1.0000, ,3.86785
261,23.0250,12.0000, , ,1.0000, ,3.85957
262,23.0750,17.0000, , ,1.0000, ,3.85132
263,23.1250,14.0000, , ,1.0000, ,3.84310
264,23.1750,16.0000, , ,1.0000, ,3.83492
265,23.2250,14.0000, , ,1.0000, ,3.82678
266,23.2750,12.0000, , ,1.0000, ,3.81867
267,23.3250,10.0000, , ,1.0000, ,3.81060
268,23.3750,17.0000, , ,1.0000, ,3.80256
269,23.4250,17.0000, , ,1.0000, ,3.79456
270,23.4750,17.0000, , ,1.0000, ,3.78659
271,23.5250,20.0000, , ,1.0000, ,3.77866
272,23.5750,14.0000, , ,1.0000, ,3.77075
273,23.6250,10.0000, , ,1.0000, ,3.76289
274,23.6750,13.0000, , ,1.0000, ,3.75505
275,23.7250,11.0000, , ,1.0000, ,3.74725
276,23.7750,23.0000, , ,1.0000, ,3.73948
277,23.8250,11.0000, , ,1.0000, ,3.73175
278,23.8750,17.0000, , ,1.0000, ,3.72405
279,23.9250,11.0000, , ,1.0000, ,3.71638
280,23.9750,17.0000, , ,1.0000, ,3.70874
281,24.0250,17.0000, , ,1.0000, ,3.70113
282,24.0750,17.0000, , ,1.0000, ,3.69356
283,24.1250,16.0000, , ,1.0000, ,3.68602
284,24.1750,19.0000, , ,1.0000, ,3.67851
285,24.2250,9.0000, , ,1.0000, ,3.67103
286,24.2750,13.0000, , ,1.0000, ,3.66358
287,24.3250,17.0000, , ,1.0000, ,3.65616
288,24.3750,16.0000, , ,1.0000, ,3.64878
289,24.4250,23.0000, , ,1.0000, ,3.64142
290,24.4750,21.0000, , ,1.0000, ,3.63410
291,24.5250,17.0000, , ,1.0000, ,3.62680
292,24.5750,15.0000, , ,1.0000, ,3.61953
293,24.6250,18.0000, , ,1.0000, ,3.61230
294,24.6750,21.0000, , ,1.0000, ,3.60509
295,24.7250,18.0000, , ,1.0000, ,3.59791
296,24.7750,19.0000, , ,1.0000, ,3.59077
297,24.8250,18.0000, , ,1.0000, ,3.58365
